serial_number,stock_code,stock_abbr,report_period,report_year,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,source_file
1,600080,600080,2023Q1,2023,0.0,0.0,0.0,0.0,0.0,197441.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600080_20230428_FQ2V.pdf
2,600080,600080,2023Q1,2023,43449.46,1890.01,0.0,49018.28,0.0,197441.86,0.0,0.0,33.71,0.0,0.0,0.0,0.0,0.0,0.02,197441.86,600080_20230428_MMWM.pdf
3,600080,600080,2023Q1,2023,53383.76,10634.79,2728.43,-7.13,19600.44,202015.43,2.316413550804276,1833.68,-0.01,0.0,0.0,-0.01,0.01,0.0,48561.67,0.0,600080_20230428_PCK7.pdf
4,600080,600080,2023HY,2023,0.0,0.0,0.0,0.0,0.0,193919.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168680.83,600080_20230819_DNUE.pdf
5,600080,600080,2023HY,2023,487.59,0.0,0.0,126.29,0.0,193919.8,0.0,0.0,33.71,0.0,0.0,433.52,0.0,0.0,0.01,168680.83,600080_20230819_U8CH.pdf
6,600080,600080,2023Q3,2023,44058.1,11331.78,2843.85,-240.91,-0.01,205883.1,0.0,1466.46,-0.01,0.0,0.0,-0.01,0.01,0.0,48432.64,0.0,600080_20231028_F42E.pdf
7,600080,600080,2024Q1,2024,62044.96,1289.24,0.0,-4677.32,11083.15,210855.11,4.375744961659608,928.48,33.71,0.0,0.0,71.87,0.0,0.0,0.0,210855.11,600080_20240427_0WKP.pdf
8,600080,600080,2024Q1,2024,36403.21,9666.07,0.16,0.01,13463.67,181501.32,-13.92130833348074,1131.53,-0.01,0.0,0.0,0.0,0.0,0.0,46834.66,0.0,600080_20240427_IBMB.pdf
9,600080,600080,2024Q1,2024,0.0,0.0,0.0,0.0,0.0,210855.11,16.17276943220026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56540.34,600080_20240427_W39O.pdf
10,600080,600080,2024HY,2024,30790.59,0.0,0.0,8229.37,18200.16,178790.48,-7.801843855036967,0.0,0.0,0.0,0.0,829.42,4262.33,0.0,0.01,149838.95,600080_20240817_5X5X.pdf
11,600080,600080,2024HY,2024,0.0,0.0,0.0,0.0,0.0,178790.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149838.95,600080_20240817_6AW9.pdf
12,600080,600080,2024Q3,2024,26091.56,10704.56,2917.3,9380.92,25404.46,185977.97,-9.66817091835124,882.62,61.31,0.0,0.0,61.31,4262.33,0.0,47515.43,0.0,600080_20241030_XN72.pdf
13,600080,600080,2025Q1,2025,16771.1,11054.93,3489.93,9727.08,41464.02,199184.51,-5.534890759820797,635.72,66.53,0.0,0.0,66.53,7946.94,0.0,51332.11,0.0,600080_20250425_6GSD.pdf
14,600080,600080,2025Q1,2025,34768.1,507.14,0.0,5682.72,37369.07,197207.12,-0.9927428593719531,0.0,0.0,0.0,0.0,97.38,3455.66,0.0,50142.99,197207.12,600080_20250425_LXGH.pdf
15,600080,600080,2025Q1,2025,0.0,0.0,0.0,1377.49,0.0,197207.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50142.99,0.0,600080_20250425_P7ID.pdf
16,600080,600080,2025HY,2025,0.0,0.0,0.0,0.0,0.0,192962.1,7.926383999863972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155610.82,600080_20250822_ABVM.pdf
17,600080,600080,2025HY,2025,17823.29,0.0,0.0,900.16,0.0,192962.1,0.0,492.59,0.0,0.0,0.0,31.31,0.0,0.0,0.01,155610.82,600080_20250822_ODWZ.pdf
18,600080,600080,2025Q3,2025,23546.74,11438.92,2805.61,11165.72,47426.09,195675.16,5.214160580417134,796.6,39.3,0.0,0.0,39.3,6230.3,0.0,53600.56,0.0,600080_20251030_IVCB.pdf
19,000999,华润三九,2022FY,2022,314970.89,-13827.04,3554.14,258.0,94609.19,0.0,0.0,144946.78,101227.22,0.02,0.0,101227.22,16850.0,0.0,740828.49,97890.0,华润三九：2022年年度报告.pdf
20,000999,华润三九,2022FY,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,华润三九：2022年年度报告摘要.pdf
