serial_number,stock_code,stock_abbr,report_period,report_year,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,source_file
1,600080,600080,2023Q1,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600080_20230428_FQ2V.pdf
2,600080,600080,2023Q1,2023,274370558.76,0.0,5257.9,0.0019,59862.95,22986.83,0.0084,7.5,5000.0,0.01,5000.0,-807.67,-0.0003,600080_20230428_MMWM.pdf
3,600080,600080,2023Q1,2023,99342956.2,-63.79241393501764,-3876.01,-0.0039,11141.68,0.0,0.0,3700.0,4385.04,9900.0,26.3,0.0,0.0,600080_20230428_PCK7.pdf
4,600080,600080,2023HY,2023,0.0,0.0,-3439.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600080_20230819_DNUE.pdf
5,600080,600080,2023HY,2023,37938239.13,0.0,-3439.13,-0.0091,26076.05,7788.41,0.0205,16600.0,5811.1,9900.0,9900.0,-555.45,-0.0015,600080_20230819_U8CH.pdf
6,600080,600080,2023Q3,2023,6902170.3,0.0,-1194.93,-0.0173,40935.38,-0.01,-0.0,16600.0,5811.1,17540.54,9900.0,-0.01,-0.0,600080_20231028_F42E.pdf
7,600080,600080,2024Q1,2024,187094086.5,88.33150699012518,6054.84,0.0032,57651.81,13776.09,0.0074,16600.0,13989.0,17540.54,17540.54,-1121.52,-0.0006,600080_20240427_0WKP.pdf
8,600080,600080,2024Q1,2024,-256741813.57,-237.22604405778478,-4921.28,0.0019,12058.88,0.04,-0.0,3700.0,4385.04,20652.27,18535.31,0.04,-0.0,600080_20240427_IBMB.pdf
9,600080,600080,2024Q1,2024,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600080_20240427_W39O.pdf
10,600080,600080,2024HY,2024,-317166483.92,-936.0073930505587,-2309.94,0.0007,27037.58,-17797.8,0.0056,16600.0,290.75,29823.49,25568.04,-11608.91,0.0037,600080_20240817_5X5X.pdf
11,600080,600080,2024HY,2024,0.0,100.0,-2309.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600080_20240817_6AW9.pdf
12,600080,600080,2024Q3,2024,-363115098.7,-5360.8829240275345,2234.07,-0.0006,41534.55,-24629.12,0.0068,16600.0,292.16,29823.49,25568.04,-11606.52,0.0032,600080_20241030_XN72.pdf
13,600080,600080,2025Q1,2025,-219469944.51,0.0,-12136.85,0.0055,9777.89,-13257.47,0.006,21.28,403.37,13630.79,9139.51,3447.33,-0.0016,600080_20250425_6GSD.pdf
14,600080,600080,2025Q1,2025,-281812189.28,-28.405823361913413,1085.87,-0.0004,0.0,-19230.36,0.0068,16600.0,13989.0,97152.56,93701.12,-10036.73,0.0036,600080_20250425_LXGH.pdf
15,600080,600080,2025Q1,2025,0.0,100.0,-4921.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600080_20250425_P7ID.pdf
16,600080,600080,2025HY,2025,0.0,0.0,-8093.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600080_20250822_ABVM.pdf
17,600080,600080,2025HY,2025,-199187643.01,0.0,-8093.34,0.0041,22712.56,-9293.52,0.0047,21.28,418.47,15215.88,15215.88,-2531.9,0.0013,600080_20250822_ODWZ.pdf
18,600080,600080,2025Q3,2025,-102453210.95,71.78492127790996,2321.21,-0.0023,38132.2,-5310.38,0.0052,21.28,1078.33,79713.33,76934.48,837.18,-0.0008,600080_20251030_IVCB.pdf
19,000999,华润三九,2022FY,2022,-41929792.1,0.0,45914.05,-0.1095,4462.13,-247920.03,0.5913,4462.13,409187.06,59369.39,46218.41,-57545.27,0.1372,华润三九：2022年年度报告.pdf
20,000999,华润三九,2022FY,2022,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,华润三九：2022年年度报告摘要.pdf
