serial_number,stock_code,stock_abbr,report_period,report_year,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,source_file
1,600080,600080,2023Q1,2023,0.0,0.03,0.0,0.0,3437.37,0.0,0.0,0.0,0.0,0.0,381.3,0.0,33.3333,11457900.0,0.0,600080_20230428_FQ2V.pdf
2,600080,600080,2023Q1,2023,0.0,57937.45,193124733.3333333,0.0,3437.37,0.0,0.0,0.0,0.0,0.0,381.3,0.0,100.0,5.9329,0.0,600080_20230428_MMWM.pdf
3,600080,600080,2023Q1,2023,0.0,10825.95,-81.31441753132042,0.0,468.09,-86.3823213677899,0.0,0.0,0.0,0.0,0.0,-100.0,73.4778,4.3238,0.0,600080_20230428_PCK7.pdf
4,600080,600080,2023HY,2023,0.0,25536.95,0.0,0.0,304.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.1915,0.0,600080_20230819_DNUE.pdf
5,600080,600080,2023HY,2023,0.0,25536.95,0.0,0.0,304.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0549,1.1915,0.0,600080_20230819_U8CH.pdf
6,600080,600080,2023Q3,2023,0.0,40280.5,0.0,0.0,34.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.9332,0.0863,0.0,600080_20231028_F42E.pdf
7,600080,600080,2024Q1,2024,-0.0,56540.34,422.26677566402947,0.0,-4289.06,-1016.2896024268839,0.0,0.0,-0.0,0.0,0.0,0.0,100.0,-7.5858,0.0,600080_20240427_0WKP.pdf
8,600080,600080,2024Q1,2024,0.0,11578.93,-79.5209402702566,0.0,2396.24,155.86865187243825,0.0,0.0,0.0,0.0,423.95,0.0,76.5582,20.6948,0.0,600080_20240427_IBMB.pdf
9,600080,600080,2024Q1,2024,-0.0,0.03,-99.99974090870226,0.0,-4289.06,-278.99125296297535,0.0,0.0,0.0,0.0,0.0,-100.0,66.6667,-14296866.6667,0.0,600080_20240427_W39O.pdf
10,600080,600080,2024HY,2024,0.0,24596.55,-3.6825071122432456,0.0,946.29,211.01360678367186,0.0,0.0,0.0,0.0,0.0,0.0,76.6614,3.8472,0.0,600080_20240817_5X5X.pdf
11,600080,600080,2024HY,2024,0.0,24596.55,0.0,0.0,946.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3.8472,0.0,600080_20240817_6AW9.pdf
12,600080,600080,2024Q3,2024,0.0,41893.12,4.003475627164516,0.0,2130.73,6028.0701754385955,0.0,0.0,0.0,0.0,0.0,0.0,77.9834,5.0861,0.0,600080_20241030_XN72.pdf
13,600080,600080,2025Q1,2025,0.0,10732.26,35774100.0,0.0,121.53,102.8334879903755,0.0,0.0,0.0,0.0,0.0,0.0,76.2165,1.1324,0.0,600080_20250425_6GSD.pdf
14,600080,600080,2025Q1,2025,0.0,58546.18,445.5158559334194,0.0,6889.67,5569.110507693575,0.0,0.0,0.0,0.0,0.0,0.0,-251489.4291,11.7679,0.0,600080_20250425_LXGH.pdf
15,600080,600080,2025Q1,2025,0.0,252985000.0,432011.88159500755,0.0,6889.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.7768,0.0027,0.0,600080_20250425_P7ID.pdf
16,600080,600080,2025HY,2025,0.0,24129.3,-1.8996566591656148,0.0,619.5,-34.53381098817487,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.5674,0.0,600080_20250822_ABVM.pdf
17,600080,600080,2025HY,2025,0.0,24129.3,0.0,0.0,619.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.586,2.5674,0.0,600080_20250822_ODWZ.pdf
18,600080,600080,2025Q3,2025,0.0,38390.84,-8.360036206422453,0.0,2828.62,32.753563332754496,0.0,0.0,0.0,0.0,0.0,0.0,76.5515,7.368,0.0,600080_20251030_IVCB.pdf
19,000999,华润三九,2022FY,2022,0.0,1807946.15,0.0,0.0,300.64,0.0,0.0,97890.0,0.02,0.0,221900.0,0.0,3.9793,0.0166,0.0,华润三九：2022年年度报告.pdf
20,000999,华润三九,2022FY,2022,0.0,0.0,-100.0,0.0,300.64,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,华润三九：2022年年度报告摘要.pdf
21,000999,华润三九,2023Q1,2023,0.0,635240.83,0.0,0.0,113121.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.075,17.8076,0.0,华润三九：2023年一季度报告.pdf
22,000999,华润三九,2023Q3,2023,0.0,1860800.6,0.0,0.0,47618.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.7915,2.559,0.0,华润三九：2023年三季度报告.pdf
23,000999,华润三九,2023FY,2023,0.0,1314612.57,0.0,0.0,182738.32,60683.10271420969,0.0,0.0,0.0,0.0,182700.0,0.0,52.2182,13.9005,0.0,华润三九：2023年半年度报告.pdf
24,000999,华润三九,2023FY,2023,0.0,1314612.57,0.0,0.0,187712.47,2.7220070754727272,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,14.2789,0.0,华润三九：2023年半年度报告摘要.pdf
25,000999,华润三九,2023FY,2023,0.0,2473896.33,88.18444205200319,0.0,285293.17,51.98413296676559,0.0,16.2,0.0,0.0,271100.0,0.0,15.0548,11.5321,0.0,华润三九：2023年年度报告.pdf
