serial_number,stock_code,stock_abbr,report_period,report_year,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,source_file
1,600080,600080,2023Q1,2023,3437.37,0.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,600080_20230428_FQ2V.pdf
2,600080,600080,2023Q1,2023,3437.37,0.0,0.0,57937.45,193124733.3333333,0.02,34655.92,6317.6,-290.81,1549.32,0.0,0.0,1711.14,0.04,0.0,0.0,600080_20230428_MMWM.pdf
3,600080,600080,2023Q1,2023,468.09,-86.3823213677899,-0.01,10825.95,-81.31441753132042,2871.28,6191.35,1770.84,-0.01,208.92,212.73,0.0,497.7,490.65,0.0,0.0,600080_20230428_PCK7.pdf
4,600080,600080,2023HY,2023,304.26,0.0,0.0,25536.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600080_20230819_DNUE.pdf
5,600080,600080,2023HY,2023,304.26,0.0,126.29,25536.95,0.0,6114.85,14704.35,3515.78,-74.51,523.33,0.01,0.0,2203.53,0.02,0.0,0.0,600080_20230819_U8CH.pdf
6,600080,600080,2023Q3,2023,34.77,0.0,-0.01,40280.5,0.0,9291.42,24088.99,5162.78,-157.37,0.0,686.47,0.0,2055.67,193.6,2055.67,640.42,600080_20231028_F42E.pdf
7,600080,600080,2024Q1,2024,-4289.06,-1016.2896024268839,156.88,56540.34,422.26677566402947,0.01,34243.07,7247.94,-119.62,1508.98,0.01,0.0,-3289.99,0.03,0.0,1179.05,600080_20240427_0WKP.pdf
8,600080,600080,2024Q1,2024,2396.24,155.86865187243825,0.25,11578.93,-79.5209402702566,2714.31,6521.83,0.04,-68.63,232.95,-0.0,0.0,0.0,0.0,0.16,0.16,600080_20240427_IBMB.pdf
9,600080,600080,2024Q1,2024,-4289.06,-278.99125296297535,0.0,0.03,-99.99974090870226,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,600080_20240427_W39O.pdf
10,600080,600080,2024HY,2024,946.29,211.01360678367186,-3324.33,24596.55,-3.6825071122432456,5740.48,14080.47,2473.72,-96.29,842.19,0.01,0.0,959.85,0.02,0.01,1982.59,600080_20240817_5X5X.pdf
11,600080,600080,2024HY,2024,946.29,0.0,0.0,24596.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600080_20240817_6AW9.pdf
12,600080,600080,2024Q3,2024,2130.73,6028.0701754385955,437.8,41893.12,4.003475627164516,9223.42,25071.75,3648.11,-158.96,2028.3,0.0,0.0,0.0,0.0,-0.0,-0.0,600080_20241030_XN72.pdf
13,600080,600080,2025Q1,2025,121.53,102.8334879903755,49.95,10732.26,35774100.0,2552.51,-0.01,-0.01,-137.46,1169.14,105.17,0.0,0.0,0.0,0.0,0.0,600080_20250425_6GSD.pdf
14,600080,600080,2025Q1,2025,6889.67,5569.110507693575,93.34,58546.18,445.5158559334194,147296000.0,35365.65,0.0,137.41,2896.29,0.01,0.0,4901.91,34207000.0,0.0,2269.62,600080_20250425_LXGH.pdf
15,600080,600080,2025Q1,2025,6889.67,0.0,0.0,252985000.0,432011.88159500755,147296000.0,0.0,0.0,0.0,0.0,3900.23,0.0,0.0,34207000.0,0.0,0.0,600080_20250425_P7ID.pdf
16,600080,600080,2025HY,2025,619.5,-34.53381098817487,0.0,24129.3,-1.8996566591656148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.4,0.0,0.0,600080_20250822_ABVM.pdf
17,600080,600080,2025HY,2025,619.5,0.0,-533.94,24129.3,0.0,5649.64,13872.08,2080.24,-227.21,1542.88,0.01,0.0,0.01,393.4,0.01,2984.92,600080_20250822_ODWZ.pdf
18,600080,600080,2025Q3,2025,2828.62,32.753563332754496,-274.39,38390.84,-8.360036206422453,9002.09,22422.03,3382.89,-339.01,2233.1,441.5,0.0,0.0,3140.19,0.0,0.0,600080_20251030_IVCB.pdf
19,000999,华润三九,2022FY,2022,300.64,0.0,21739.4,1807946.15,0.0,1736002.58,507662.39,105861.01,550.75,59394.17,20705.52,0.0,0.0,4462.13,0.01,0.02,华润三九：2022年年度报告.pdf
20,000999,华润三九,2022FY,2022,300.64,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,华润三九：2022年年度报告摘要.pdf
21,000999,华润三九,2023Q1,2023,113121.38,0.0,3993.79,635240.83,0.0,291734.17,140340.51,30911.31,-730.61,13259.7,6590.35,0.0,151389.9,150985.28,0.0,0.0,华润三九：2023年一季度报告.pdf
22,000999,华润三九,2023Q3,2023,47618.63,0.0,16541.07,1860800.6,0.0,897064.61,476731.86,103959.53,-2051.99,45844.32,19381.92,0.0,325029.39,324972.18,-7807.08,-4268.35,华润三九：2023年三季度报告.pdf
23,000999,华润三九,2023FY,2023,182738.32,60683.10271420969,9145.2,1314612.57,0.0,628145.19,328866.86,67744.76,-1318.54,29521.12,13589.28,0.0,0.0,453.09,-1789.89,-5826.77,华润三九：2023年半年度报告.pdf
24,000999,华润三九,2023FY,2023,187712.47,2.7220070754727272,0.0,1314612.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,华润三九：2023年半年度报告摘要.pdf
25,000999,华润三九,2023FY,2023,285293.17,51.98413296676559,28586.86,2473896.33,88.18444205200319,2101455.45,696547.52,152353.64,-2419.17,71450.22,27491.35,0.0,0.0,1823.71,0.0,0.02,华润三九：2023年年度报告.pdf
26,000999,华润三九,2023FY,2023,285293.17,0.0,0.0,2473896.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,华润三九：2023年年度报告摘要.pdf
27,000999,华润三九,2024Q1,2024,136382.6,20.563062437887517,4657.1,729407.06,14.823705522832986,339753.17,156144.56,33868.32,-2365.62,13741.74,7524.69,0.0,179789.06,180314.56,0.0,0.0,华润三九：2024年一季度报告.pdf
